attrition_flag,customer_age,total_trans_amt,total_trans_ct,credit_limit,months_inactive_12_mon,contacts_count_12_mon,income_category
Existing Customer,44,4088,84,25666,3,2,80K-120K
Existing Customer,44,1264,31,9297,1,4,Lessthan40K
Existing Customer,36,2017,40,2999,1,2,Lessthan40K
Existing Customer,64,1439,42,4234,2,2,40K-60K
Existing Customer,34,2327,65,15987,3,2,Lessthan40K
Existing Customer,49,1721,56,16435,5,3,80K-120K
Existing Customer,37,1888,43,5335,1,4,60K-80K
Existing Customer,65,1953,61,3506,3,3,40K-60K
Existing Customer,53,1652,40,3610,1,2,80K-120K
Existing Customer,32,1939,36,3172,1,2,40K-60K
Existing Customer,44,1715,43,8206,2,3,80K-120K
Existing Customer,65,2372,53,2416,2,2,Lessthan40K
Existing Customer,60,1238,30,2458,2,4,40K-60K
Existing Customer,27,2389,43,1677,1,2,Lessthan40K
Existing Customer,52,2431,46,11819,1,4,60K-80K
Existing Customer,42,1534,30,34516,1,2,80K-120K
Existing Customer,29,2229,52,1459,3,4,40K-60K
Existing Customer,29,2449,56,1458,1,4,40K-60K
Existing Customer,38,1999,39,1438.3,2,2,40K-60K
Attrited Customer,36,569,23,7758,1,3,40K-60K
Existing Customer,40,1293,31,10836,2,2,Lessthan40K
Existing Customer,47,1314,40,5062,3,3,60K-80K
Existing Customer,36,1571,34,3399,2,2,Unknown
Existing Customer,26,2520,51,2212,2,2,40K-60K
Existing Customer,43,1531,37,3186,1,4,40K-60K
Existing Customer,52,1558,46,5927,1,3,Lessthan40K
Existing Customer,49,1902,56,5176,1,4,60K-80K
Existing Customer,50,1388,41,3126,1,3,80K-120K
Existing Customer,34,2256,56,4670,4,2,80K-120K
Existing Customer,53,1736,42,2162,3,3,Unknown
Existing Customer,49,1685,49,10155,1,2,80K-120K
Existing Customer,53,1876,57,15242,2,3,80K-120K
Existing Customer,48,1699,48,34516,3,2,120K+
Existing Customer,32,2580,67,1438.3,1,2,Lessthan40K
Existing Customer,38,1445,45,34516,1,3,80K-120K
Existing Customer,43,1394,28,16043,1,3,80K-120K
Attrited Customer,51,818,16,3181,3,2,Lessthan40K
Existing Customer,58,1135,24,27088,1,2,120K+
Existing Customer,59,1824,53,5688,3,4,Lessthan40K
Existing Customer,51,1267,31,10462,2,3,60K-80K
Attrited Customer,62,1315,31,5249,1,1,40K-60K
Existing Customer,38,1555,37,5155,3,2,Lessthan40K
Existing Customer,33,2434,58,10705,1,3,120K+
Existing Customer,54,1302,36,16494,1,2,80K-120K
Existing Customer,37,1717,50,6469,3,4,40K-60K
Existing Customer,30,1509,45,5146,3,2,60K-80K
Existing Customer,61,1433,40,2800,1,3,80K-120K
Existing Customer,49,1826,37,5159,1,2,60K-80K
Existing Customer,56,2305,45,5248,2,4,60K-80K
Existing Customer,51,1931,56,5881,3,2,Lessthan40K
Existing Customer,44,1731,54,1467,3,3,Lessthan40K
Existing Customer,64,1601,48,4999,2,2,40K-60K
Existing Customer,46,1612,47,4668,2,2,Unknown
Existing Customer,39,1338,28,1438.3,3,4,Lessthan40K
Existing Customer,38,1295,29,8638,3,4,Lessthan40K
Existing Customer,53,1385,31,9343,1,3,120K+
Existing Customer,35,1749,33,2256,1,3,40K-60K
Existing Customer,26,1917,37,8267,1,2,60K-80K
Existing Customer,32,2905,56,2235,3,4,40K-60K
Existing Customer,36,1672,48,3735,3,2,40K-60K
Attrited Customer,48,773,17,2111,2,3,80K-120K
Existing Customer,55,1578,30,10604,2,2,80K-120K
Existing Customer,52,1537,35,21782,3,2,80K-120K
Existing Customer,52,1426,37,2133,3,3,Lessthan40K
Existing Customer,58,1410,37,16677,2,4,40K-60K
Existing Customer,38,2064,33,2717,3,4,Lessthan40K
Existing Customer,60,4449,82,3980,3,3,Lessthan40K
Attrited Customer,55,990,22,8411,2,2,60K-80K
Existing Customer,43,1972,41,2227,2,4,Lessthan40K
Existing Customer,35,2227,61,34516,3,2,80K-120K
Existing Customer,38,1731,29,1860,3,3,Lessthan40K
Existing Customer,48,1561,41,2829,1,3,60K-80K
Existing Customer,38,1572,57,3764,2,3,Lessthan40K
Existing Customer,43,1652,37,4559,2,2,40K-60K
Existing Customer,36,1679,32,4701,3,4,Lessthan40K
Existing Customer,34,2962,57,1631,2,4,80K-120K
Existing Customer,39,1794,41,8096,3,4,Unknown
Existing Customer,43,1273,36,2304,1,2,Lessthan40K
Existing Customer,48,1309,45,5210,3,2,40K-60K
Existing Customer,44,1347,30,5452,2,3,40K-60K
Existing Customer,38,1592,30,7475,3,3,60K-80K
Existing Customer,62,2021,50,2359,3,3,40K-60K
Existing Customer,30,2465,88,4237,2,2,80K-120K
Existing Customer,39,1836,46,18582,6,4,80K-120K
Existing Customer,53,1397,33,7202,2,4,Lessthan40K
Existing Customer,64,1417,35,1438.3,2,4,40K-60K
Existing Customer,51,1564,45,11221,1,2,Unknown
Existing Customer,32,2979,55,18889,3,4,Unknown
Existing Customer,52,1578,41,2066,3,3,80K-120K
Existing Customer,43,3015,65,34516,2,4,80K-120K
Existing Customer,40,1539,38,2742,1,2,60K-80K
Existing Customer,54,1306,26,20050,1,4,60K-80K
Existing Customer,34,2330,69,3046,1,3,Lessthan40K
Existing Customer,33,2456,69,6193,3,4,Lessthan40K
Existing Customer,36,2366,49,5634,3,3,80K-120K
Existing Customer,65,1793,38,4507,2,4,Lessthan40K
Existing Customer,43,1598,31,3040,2,3,40K-60K
Existing Customer,53,1856,57,21006,3,3,120K+
Existing Customer,48,1852,62,7326,3,4,Lessthan40K
Attrited Customer,39,862,19,3651,1,3,Lessthan40K
Existing Customer,57,1536,42,3416,1,3,Lessthan40K
Attrited Customer,51,1168,31,3664,3,2,Unknown
Existing Customer,48,3154,59,6085,1,3,60K-80K
Existing Customer,51,1318,28,22332,3,2,60K-80K
Existing Customer,26,2602,42,2063,2,4,Lessthan40K
Existing Customer,38,1970,40,4429,3,3,Lessthan40K
Existing Customer,35,1661,35,3991,3,2,60K-80K
Existing Customer,46,3165,65,2201,1,4,Lessthan40K
Existing Customer,48,1382,40,2852,3,2,80K-120K
Existing Customer,49,1258,24,9723,3,3,Lessthan40K
Existing Customer,35,1814,43,5325,2,3,40K-60K
Existing Customer,65,1596,42,7427,2,4,40K-60K
Existing Customer,53,1816,30,5619,3,3,60K-80K
Existing Customer,54,1164,43,5413,1,3,Lessthan40K
Existing Customer,64,1667,47,7646,1,3,Unknown
Existing Customer,39,1362,24,2420,3,2,Unknown
Existing Customer,50,1598,45,4252,4,2,80K-120K
Existing Customer,54,1943,47,2031,2,4,Lessthan40K
Existing Customer,38,2228,39,6861,1,2,Unknown
Existing Customer,39,1665,36,3327,2,4,80K-120K
Existing Customer,53,1170,23,2885,1,3,40K-60K
Existing Customer,53,2333,56,7272,3,3,120K+
Existing Customer,32,2305,60,34516,3,4,80K-120K
Existing Customer,57,2231,58,2515,3,3,Lessthan40K
Existing Customer,65,1543,35,2798,2,2,Lessthan40K
Existing Customer,57,1233,26,34516,2,4,80K-120K
Existing Customer,65,2283,55,1438.3,1,2,Lessthan40K
Existing Customer,65,2121,49,12609,2,4,Lessthan40K
Existing Customer,55,1813,52,19159,2,4,80K-120K
Existing Customer,54,1401,35,9642,1,4,80K-120K
Existing Customer,44,1475,35,8396,3,3,120K+
Existing Customer,58,1362,26,6978,3,2,80K-120K
Existing Customer,53,2309,62,2459,3,4,40K-60K
Existing Customer,33,2492,56,12956,2,2,Lessthan40K
Existing Customer,47,1468,44,7128,3,4,Lessthan40K
Existing Customer,51,1381,33,18749,2,2,80K-120K
Existing Customer,38,1799,47,2193,3,2,Lessthan40K
Existing Customer,57,1806,38,4522,2,3,80K-120K
Existing Customer,36,1663,33,2157,1,4,40K-60K
Existing Customer,35,1986,36,11927,1,2,80K-120K
Existing Customer,55,1731,46,11341,1,4,Unknown
Existing Customer,57,1390,30,7345,3,3,Unknown
Existing Customer,56,1741,45,6036,3,4,60K-80K
Existing Customer,38,1559,49,2096,1,3,Lessthan40K
Existing Customer,54,1343,37,1906,1,3,Lessthan40K
Existing Customer,48,1390,23,5039,2,4,80K-120K
Attrited Customer,53,938,35,6214,1,2,80K-120K
Existing Customer,30,2558,44,1512,1,3,Lessthan40K
Existing Customer,47,3018,60,34516,3,4,80K-120K
Existing Customer,60,1276,21,3346,3,3,Lessthan40K
Attrited Customer,54,2115,24,34516,2,3,120K+
Existing Customer,37,2660,51,6660,2,4,Lessthan40K
Existing Customer,32,2115,59,2234,2,3,Lessthan40K
Existing Customer,44,2955,66,9671,4,2,Lessthan40K
Existing Customer,53,2017,47,6605,3,2,40K-60K
Existing Customer,43,1448,30,3083,3,2,80K-120K
Attrited Customer,49,1096,27,5456,1,2,Lessthan40K
Existing Customer,38,1538,43,4394,1,2,Unknown
Existing Customer,56,2250,39,4088,1,4,40K-60K
Existing Customer,26,2067,42,3930,3,3,40K-60K
Existing Customer,58,1276,25,4188,2,4,60K-80K
Existing Customer,33,2161,56,3637,3,0,60K-80K
Existing Customer,35,2260,68,11521,2,2,80K-120K
Existing Customer,37,1641,45,2253,2,2,60K-80K
Existing Customer,27,2294,45,2339,2,4,Unknown
Existing Customer,43,1860,47,30503,1,2,80K-120K
Existing Customer,49,2872,62,4596,3,2,60K-80K
Attrited Customer,49,961,32,5701,3,3,80K-120K
Existing Customer,39,1765,40,3221,6,3,Lessthan40K
Existing Customer,41,1184,21,3022,3,3,Lessthan40K
Existing Customer,32,2141,56,2699,2,4,Lessthan40K
Existing Customer,58,1287,37,2210,3,3,Lessthan40K
Existing Customer,56,1446,38,1438.3,3,4,60K-80K
Existing Customer,37,1555,45,2041,3,4,Lessthan40K
Existing Customer,39,2006,58,3250,2,2,120K+
Existing Customer,26,2152,50,1643,3,4,40K-60K
Existing Customer,31,2183,60,34516,3,2,Unknown
Attrited Customer,46,1015,27,29543,3,3,Unknown
Existing Customer,36,2973,63,3158,3,2,120K+
Existing Customer,39,1687,35,2899,2,3,80K-120K
Existing Customer,53,2552,62,2972,1,3,Lessthan40K
Existing Customer,38,1527,32,5645,2,2,Lessthan40K
Existing Customer,37,2171,58,2463,3,2,Lessthan40K
Existing Customer,47,1501,40,1438.3,3,4,Lessthan40K
Existing Customer,56,2395,50,34516,3,3,80K-120K
Existing Customer,55,1337,25,2897,2,2,Lessthan40K
Existing Customer,31,1971,56,5391,2,0,Lessthan40K
Existing Customer,62,3946,74,2870,2,4,Unknown
Existing Customer,34,1870,45,23959,2,4,120K+
Existing Customer,33,2171,35,14918,2,2,60K-80K
Existing Customer,38,1472,37,3590,3,2,Lessthan40K
Existing Customer,65,1941,51,2297,3,2,40K-60K
Existing Customer,57,2053,55,25058,2,4,80K-120K
Attrited Customer,58,911,26,7418,2,2,Lessthan40K
Existing Customer,60,1315,23,3012,3,2,40K-60K
Existing Customer,39,1896,50,4562,1,4,40K-60K
Existing Customer,39,2938,63,10723,2,2,Unknown
Existing Customer,39,2017,43,1578,2,3,Lessthan40K
Existing Customer,60,1969,41,2094,2,4,Lessthan40K
Existing Customer,37,2420,50,4138,1,3,Lessthan40K
Existing Customer,41,1768,56,5417,1,2,Unknown
Existing Customer,56,1378,30,34516,3,3,120K+
Existing Customer,60,1821,55,9592,1,2,60K-80K
Existing Customer,56,2027,49,8881,1,3,Lessthan40K
Existing Customer,62,1843,49,1438.3,3,4,40K-60K
Existing Customer,41,1536,39,3893,3,3,Lessthan40K
Existing Customer,44,1424,37,3242,2,4,Lessthan40K
Existing Customer,59,1551,32,6035,3,3,40K-60K
Existing Customer,55,2148,54,17642,3,2,Unknown
Existing Customer,26,2344,48,4327,3,3,60K-80K
Attrited Customer,40,1028,26,34516,1,3,80K-120K
Existing Customer,44,1775,55,4852,1,3,Lessthan40K
Existing Customer,37,2539,50,7147,3,3,Unknown
Existing Customer,37,1754,45,10320,3,3,60K-80K
Existing Customer,65,1894,56,3297,2,2,Lessthan40K
Existing Customer,46,1456,30,9981,2,2,60K-80K
Existing Customer,53,1978,33,3329,3,3,120K+
Existing Customer,56,1867,53,5991,3,4,Lessthan40K
Existing Customer,48,1637,43,3235,1,3,40K-60K
Existing Customer,34,1836,50,6259,3,3,120K+
Existing Customer,65,1416,27,2541,3,2,Lessthan40K
Existing Customer,55,1887,32,21351,2,4,80K-120K
Existing Customer,32,1931,48,8998,2,4,40K-60K
Existing Customer,58,1754,44,10247,3,4,Unknown
Existing Customer,54,1266,34,20311,3,2,120K+
Existing Customer,52,1630,43,33182,1,4,60K-80K
Existing Customer,36,1758,42,1686,5,4,60K-80K
Attrited Customer,56,870,24,4742,2,3,60K-80K
Existing Customer,33,1712,48,1726,1,3,60K-80K
Existing Customer,61,1114,34,8420,2,4,80K-120K
Existing Customer,61,1952,50,3352,3,4,60K-80K
Existing Customer,43,2089,60,6648,2,2,40K-60K
Existing Customer,48,1362,33,2335,3,3,Lessthan40K
Existing Customer,36,1888,42,12397,3,2,60K-80K
Existing Customer,34,2243,43,1438.3,1,4,40K-60K
Existing Customer,53,3795,70,2240,6,4,Lessthan40K
Existing Customer,43,1441,43,5330,3,4,40K-60K
Existing Customer,61,1834,59,1795,3,3,Lessthan40K
Existing Customer,55,2170,51,5741,1,4,80K-120K
Existing Customer,51,1585,40,2002,3,3,Unknown
Existing Customer,38,1484,36,25662,3,2,80K-120K
Existing Customer,52,1541,29,22103,1,4,80K-120K
Existing Customer,36,1975,40,1438.3,1,3,Lessthan40K
Attrited Customer,45,1044,28,12355,2,2,40K-60K
Existing Customer,34,1944,42,2000,1,2,40K-60K
Existing Customer,27,2094,36,8713,2,2,120K+
Existing Customer,49,1846,56,9165,1,4,Lessthan40K
Existing Customer,43,3320,55,11583,1,2,Lessthan40K
Existing Customer,52,1805,53,1438.3,3,3,80K-120K
Attrited Customer,31,808,30,8149,1,2,Unknown
Attrited Customer,40,820,21,3616,2,3,80K-120K
Existing Customer,39,1414,27,8434,2,4,80K-120K
Existing Customer,45,1649,59,9791,3,2,60K-80K
Existing Customer,37,2497,74,8444,2,3,Lessthan40K
Existing Customer,49,2104,44,2228,1,4,Lessthan40K
Attrited Customer,56,903,29,12211,1,1,120K+
Existing Customer,62,1445,38,1438.3,3,4,Lessthan40K
Existing Customer,37,1724,24,1586,3,3,40K-60K
Existing Customer,42,1300,31,2247,3,3,40K-60K
Existing Customer,36,2688,60,2789,4,3,60K-80K
Existing Customer,59,1798,45,4241,2,3,40K-60K
Existing Customer,40,1489,29,8398,1,3,Unknown
Existing Customer,43,1334,40,4112,3,3,40K-60K
Existing Customer,29,2492,71,15578,2,3,40K-60K
Existing Customer,42,1395,43,4008,2,2,40K-60K
Existing Customer,63,1191,28,12766,1,3,Unknown
Existing Customer,36,2331,56,3438,2,4,Lessthan40K
Existing Customer,53,1288,29,16692,1,2,80K-120K
Existing Customer,36,3040,56,4066,2,2,Lessthan40K
Existing Customer,36,1999,44,13080,2,3,60K-80K
Existing Customer,26,2334,61,1934,1,2,Lessthan40K
Existing Customer,45,1931,57,3230,2,3,Lessthan40K
Existing Customer,55,1967,40,3615,2,4,Lessthan40K
Existing Customer,61,3193,62,1801,2,2,Unknown
Existing Customer,26,2514,64,2665,3,4,Lessthan40K
Existing Customer,40,1504,35,28822,3,2,60K-80K
Existing Customer,38,1399,36,14632,3,2,40K-60K
Existing Customer,32,1731,41,6715,3,3,Unknown
Existing Customer,53,1309,40,6658,2,3,60K-80K
Existing Customer,52,1309,30,3360,2,3,40K-60K
Existing Customer,29,1800,41,14853,3,2,80K-120K
Existing Customer,38,2935,62,4800,3,4,60K-80K
Existing Customer,27,2280,49,4610,1,2,40K-60K
Existing Customer,46,1114,33,1438.3,3,4,Lessthan40K
Existing Customer,57,1797,44,8377,4,3,60K-80K
Existing Customer,42,1776,44,4147,5,4,80K-120K
Existing Customer,62,1194,30,2644,1,4,40K-60K
Existing Customer,37,1921,37,13355,3,4,40K-60K
Existing Customer,57,3228,67,3251,2,2,40K-60K
Existing Customer,35,2623,74,2100,3,4,40K-60K
Existing Customer,55,2425,54,3566,3,4,Lessthan40K
Existing Customer,56,1388,35,14915,1,3,Unknown
Existing Customer,39,1697,40,13003,1,4,60K-80K
Existing Customer,64,1375,30,2492,3,4,Lessthan40K
Existing Customer,37,2013,41,1758,2,3,Lessthan40K
Existing Customer,34,1995,53,5510,2,2,60K-80K
Existing Customer,46,1466,41,17196,1,2,60K-80K
Existing Customer,65,2494,58,5877,1,3,40K-60K
Existing Customer,36,1501,35,7667,1,2,60K-80K
Existing Customer,35,2077,47,2939,1,3,40K-60K
Existing Customer,49,1002,21,5898,1,4,80K-120K
Existing Customer,46,1879,34,19995,3,4,Unknown
Existing Customer,26,3567,73,2773,1,4,40K-60K
Existing Customer,52,1599,47,3323,2,4,60K-80K
Existing Customer,38,1989,33,16049,3,3,Unknown
Existing Customer,37,1802,34,3601,4,2,40K-60K
Existing Customer,33,2440,48,2307,2,2,Lessthan40K
Existing Customer,59,1505,31,3742,3,3,60K-80K
Existing Customer,34,2171,45,2937,3,3,40K-60K
Existing Customer,39,1292,37,3209,1,4,Unknown
Existing Customer,59,1422,30,12554,1,4,60K-80K
Existing Customer,50,1673,44,4702,3,4,60K-80K
Existing Customer,26,2482,57,5645,2,4,40K-60K
Existing Customer,32,1659,39,14308,3,4,60K-80K
Attrited Customer,51,1544,44,4882,1,3,40K-60K
Existing Customer,41,1345,34,33405,3,3,80K-120K
Existing Customer,39,2901,59,2700,1,2,40K-60K
Existing Customer,49,3396,64,2934,1,4,Lessthan40K
Existing Customer,30,2611,64,1548,2,3,120K+
Existing Customer,40,2305,33,5525,2,2,Lessthan40K
Existing Customer,36,2155,61,5750,2,4,Lessthan40K
Existing Customer,56,1535,38,27157,3,2,120K+
Existing Customer,37,2526,54,12830,2,4,80K-120K
Existing Customer,51,1766,45,5530,1,3,Lessthan40K
Existing Customer,36,2346,51,2684,2,3,Lessthan40K
Existing Customer,62,1651,32,2437,1,2,80K-120K
Existing Customer,31,2491,64,3827,2,4,Lessthan40K
Existing Customer,42,2935,65,34516,2,2,120K+
Existing Customer,38,1872,34,5940,3,4,60K-80K
Attrited Customer,45,1424,38,13162,3,2,60K-80K
Existing Customer,50,1861,51,1963,2,4,Lessthan40K
Existing Customer,58,1524,42,18713,3,3,80K-120K
Existing Customer,35,1920,34,3023,1,4,80K-120K
Existing Customer,58,1468,34,6103,1,2,120K+
Existing Customer,42,1903,40,10607,3,3,60K-80K
Existing Customer,32,2471,60,2917,3,4,Lessthan40K
Existing Customer,35,2350,55,34516,3,4,120K+
Existing Customer,51,3002,58,25197,2,2,80K-120K
Existing Customer,63,1210,25,2743,2,4,Lessthan40K
Existing Customer,42,1289,36,4111,2,4,120K+
Existing Customer,36,2781,59,3667,3,2,Unknown
Existing Customer,42,4605,86,3178,2,4,40K-60K
Attrited Customer,37,1096,29,5674,3,2,Unknown
Existing Customer,38,2493,44,11444,3,4,80K-120K
Existing Customer,29,2144,41,1438.3,1,3,40K-60K
Existing Customer,54,1294,26,6387,3,4,40K-60K
Existing Customer,33,1914,46,5657,3,3,40K-60K
Existing Customer,63,1395,37,11827,3,2,Unknown
Existing Customer,49,2073,47,2608,3,3,60K-80K
Existing Customer,44,1433,38,3203,5,4,Lessthan40K
Existing Customer,33,2574,72,34516,1,3,Unknown
Existing Customer,57,1392,33,2472,3,3,80K-120K
Existing Customer,52,1352,37,2147,3,3,Lessthan40K
Existing Customer,52,1924,48,3416,1,3,Lessthan40K
Existing Customer,39,2742,42,8058,2,4,Unknown
Existing Customer,50,1296,31,3410,1,2,Unknown
Existing Customer,43,1780,44,19044,2,3,60K-80K
Existing Customer,36,2229,45,1606,2,4,60K-80K
Existing Customer,55,1425,33,24336,2,2,120K+
Existing Customer,30,2523,71,5030,2,3,Lessthan40K
Existing Customer,36,1897,39,24577,3,2,120K+
Existing Customer,26,2255,48,3517,3,4,Lessthan40K
Existing Customer,48,1568,51,7400,2,3,40K-60K
Existing Customer,53,2116,63,2956,2,4,40K-60K
Attrited Customer,42,1015,36,3578,1,4,Unknown
Attrited Customer,53,1133,28,12778,3,2,120K+
Existing Customer,58,1371,38,1942,3,4,Lessthan40K
Existing Customer,32,2337,69,29961,1,3,80K-120K
Existing Customer,48,1546,41,33791,3,4,60K-80K
Existing Customer,48,1682,39,17657,0,2,40K-60K
Existing Customer,54,1419,36,2821,3,2,120K+
Existing Customer,59,2139,70,1479,3,4,Lessthan40K
Existing Customer,35,2492,55,1438.3,3,2,60K-80K
Existing Customer,37,3045,56,6859,1,4,40K-60K
Existing Customer,36,2406,65,3404,2,3,120K+
Existing Customer,26,1833,27,2158,1,3,40K-60K
Attrited Customer,35,1483,36,1890,2,1,Lessthan40K
Attrited Customer,40,1698,43,18386,3,4,60K-80K
Existing Customer,55,1935,47,3602,5,4,Unknown
Existing Customer,39,1514,51,3766,1,3,80K-120K
Existing Customer,39,2905,63,5634,2,4,Lessthan40K
Existing Customer,46,1638,41,3126,2,4,40K-60K
Existing Customer,49,1640,37,3017,1,2,60K-80K
Existing Customer,32,2456,55,5478,2,3,60K-80K
Existing Customer,35,2601,52,13046,3,4,80K-120K
Existing Customer,39,2279,33,8687,3,2,40K-60K
Existing Customer,53,2043,52,6174,2,4,Lessthan40K
Existing Customer,26,2312,61,5655,1,2,40K-60K
Existing Customer,32,2056,49,5397,2,3,60K-80K
Existing Customer,54,1693,37,28465,1,2,120K+
Existing Customer,36,2668,51,3444,2,4,Lessthan40K
Existing Customer,45,1732,35,2104,1,3,Lessthan40K
Existing Customer,49,1916,58,15610,1,4,80K-120K
Existing Customer,44,1531,48,34516,2,3,120K+
Existing Customer,32,2413,41,16912,1,4,Unknown
Existing Customer,64,1523,35,5462,1,3,Lessthan40K
Existing Customer,37,2909,64,2868,1,2,Lessthan40K
Existing Customer,31,1642,36,2685,1,3,60K-80K
Existing Customer,49,1834,43,5238,1,2,40K-60K
Existing Customer,32,1874,38,4561,2,4,Lessthan40K
Existing Customer,53,1452,37,13091,2,3,120K+
Existing Customer,62,1355,34,10826,3,3,Unknown
Existing Customer,26,2625,45,2600,2,2,Unknown
Existing Customer,49,2047,41,2561,3,4,Unknown
Existing Customer,30,1712,37,7087,2,2,Lessthan40K
Existing Customer,34,1969,46,34516,3,2,120K+
Existing Customer,41,1720,42,10266,2,4,40K-60K
Existing Customer,27,1954,43,1553,3,3,Lessthan40K
Existing Customer,33,1644,45,6732,2,4,40K-60K
Existing Customer,56,1478,33,12181,1,2,120K+
Existing Customer,36,1739,35,7056,1,2,80K-120K
Existing Customer,35,2290,62,14365,1,2,60K-80K
Existing Customer,27,2147,41,11473,2,4,40K-60K
Existing Customer,46,1339,29,23996,2,4,60K-80K
Existing Customer,48,1825,31,2998,2,4,60K-80K
Existing Customer,54,1676,41,30011,2,2,80K-120K
Existing Customer,38,2503,40,2405,3,3,60K-80K
Existing Customer,36,1946,37,21927,4,2,80K-120K
Existing Customer,56,1839,33,3906,1,2,80K-120K
Existing Customer,32,2192,58,10029,3,3,60K-80K
Existing Customer,36,2747,42,4934,3,4,60K-80K
Existing Customer,35,2685,71,13882,2,2,Lessthan40K
Existing Customer,26,2595,56,2347,3,2,Unknown
Existing Customer,32,1657,38,4116,2,2,60K-80K
Existing Customer,56,3151,67,13904,1,2,40K-60K
Existing Customer,54,1440,37,32558,2,4,80K-120K
Existing Customer,54,1273,33,12902,1,2,80K-120K
Existing Customer,37,1804,38,2509,1,4,Lessthan40K
Existing Customer,38,1200,28,2484,3,3,Lessthan40K
Existing Customer,35,2469,67,2780,1,3,60K-80K
Existing Customer,39,1715,35,5219,2,4,60K-80K
Existing Customer,48,1486,32,18102,3,4,80K-120K
Existing Customer,29,1885,55,4532,3,4,40K-60K
Existing Customer,33,2390,62,22399,2,2,80K-120K
Existing Customer,39,2153,58,4489,5,3,40K-60K
Existing Customer,35,2461,68,10329,1,4,Unknown
Existing Customer,43,1569,39,2637,2,3,Lessthan40K
Existing Customer,27,1662,32,1864,1,2,Lessthan40K
Existing Customer,52,1901,33,13276,3,3,Unknown
Existing Customer,31,2498,60,1935,3,3,40K-60K
Existing Customer,45,1900,28,6784,2,4,60K-80K
Existing Customer,35,1859,33,19127,2,4,60K-80K
Existing Customer,55,1327,30,32641,2,3,120K+
Existing Customer,61,1397,43,1438.3,3,4,40K-60K
Existing Customer,37,1773,42,2417,2,2,Lessthan40K
Existing Customer,38,1388,27,19259,1,3,80K-120K
Existing Customer,54,2069,54,3796,2,2,Lessthan40K
Existing Customer,40,1471,37,4042,1,4,80K-120K
Existing Customer,47,2902,64,17603,1,2,120K+
Existing Customer,55,1017,25,2894,1,4,40K-60K
Existing Customer,37,1740,43,16730,1,2,80K-120K
Existing Customer,36,2614,79,3282,3,2,Lessthan40K
Existing Customer,53,2135,48,15815,2,2,Unknown
Existing Customer,26,2099,34,1672,2,3,60K-80K
Existing Customer,45,1914,45,8121,3,3,Lessthan40K
Existing Customer,36,1670,30,3182,1,4,Lessthan40K
Existing Customer,60,1233,35,3182,1,4,60K-80K
Attrited Customer,30,1309,38,5061,2,4,Lessthan40K
Existing Customer,39,3014,58,6224,3,3,60K-80K
Existing Customer,33,3306,71,2735,1,3,Unknown
Existing Customer,48,1219,35,2464,1,4,Lessthan40K
Existing Customer,39,1897,50,3477,3,2,60K-80K
Existing Customer,38,1841,46,3242,2,2,80K-120K
Existing Customer,47,1772,53,27858,1,4,120K+
Existing Customer,26,2546,40,1438.3,2,3,Lessthan40K
Existing Customer,49,1793,44,34516,2,4,120K+
Existing Customer,38,1499,31,6361,2,3,80K-120K
Existing Customer,30,1645,30,2490,6,2,Lessthan40K
Existing Customer,53,2073,60,14057,6,4,120K+
Existing Customer,49,1729,35,2461,1,2,60K-80K
Existing Customer,35,2423,74,7766,3,3,60K-80K
Existing Customer,40,1322,38,21308,1,3,40K-60K
Existing Customer,30,1819,24,4516,2,4,60K-80K
Existing Customer,42,1634,44,5424,3,2,40K-60K
Existing Customer,62,2094,47,1764,2,2,Lessthan40K
Attrited Customer,50,1554,43,1493,3,3,40K-60K
Existing Customer,56,1220,30,17539,2,2,120K+
Existing Customer,45,3530,68,34516,2,3,80K-120K
Existing Customer,35,1581,30,2149,1,2,Lessthan40K
Existing Customer,57,1629,43,6256,4,4,Lessthan40K
Existing Customer,33,2154,61,11922,1,4,Unknown
Attrited Customer,43,2449,27,4075,2,4,Lessthan40K
Existing Customer,53,1312,29,7290,1,4,80K-120K
Existing Customer,50,3382,58,5965,3,2,60K-80K
Existing Customer,30,1925,42,9007,1,4,120K+
Existing Customer,37,2837,74,6077,2,3,Lessthan40K
Existing Customer,37,1744,35,1808,3,2,40K-60K
Existing Customer,45,3174,74,12810,1,3,80K-120K
Attrited Customer,58,992,21,3421,1,3,40K-60K
Existing Customer,63,1291,24,3118,1,4,40K-60K
Existing Customer,43,1518,39,20013,3,4,60K-80K
Existing Customer,26,2272,46,4395,1,2,Unknown
Existing Customer,37,2825,60,9661,3,3,Lessthan40K
Existing Customer,53,1587,38,1973,2,4,60K-80K
Existing Customer,55,2235,57,9926,2,4,120K+
Existing Customer,36,2275,58,4108,3,3,60K-80K
Existing Customer,51,1818,51,20741,1,4,120K+
Existing Customer,36,2733,71,16335,1,2,80K-120K
Existing Customer,35,2442,62,4588,3,3,Unknown
Existing Customer,34,2617,54,5712,3,3,Lessthan40K
Existing Customer,57,1844,49,5335,1,2,60K-80K
Attrited Customer,54,2047,33,13184,2,3,Unknown
Existing Customer,29,1842,50,8592,2,3,60K-80K
Existing Customer,37,2028,39,1910,3,2,Lessthan40K
Existing Customer,53,3095,62,6210,3,3,Lessthan40K
Existing Customer,36,1685,44,2220,2,4,40K-60K
Existing Customer,49,1502,31,20756,2,2,40K-60K
Existing Customer,64,1541,37,2895,3,2,40K-60K
